name,status,espnId,dob,citizenship,debutUsed,checkNote
Tim Caron,found,4062284,1987-07-24,USA,2014-11-21,
Alton Cunningham,found,4339489,1993-06-19,USA,2017-04-22,
Jalin Turner,found,4339490,1995-05-18,USA,2016-02-20,
Joey    Gomez,ambiguous,,,,,2 MMA ids
Kevin Aguilar,found,2555540,1988-09-07,USA,2010-12-03,
Max Mustaki,found,4243343,1987-11-07,USA,2017-07-22,
Riley Dutro,miss,,,,,
Angelo Trevino,found,4079844,1993-06-10,USA,2015-06-27,
Antonio Jones,found,4354319,1985-04-12,,2015-06-13,
Austin Vanderford,found,4290344,1990-03-21,USA,2017-03-11,
Domingo Pilarte,found,3041157,1990-01-05,USA,2009-07-12,
Edmen Shahbazyan,found,4354318,1997-11-20,USA,2017-02-25,
Jamie Colleen Miller,found,4037324,1985-11-02,USA,2013-02-02,
Maycee Barber,found,4246307,1998-05-18,USA,2017-06-23,
Vince Morales,found,4349153,1990-11-12,USA,2015-05-15,
Canaan Kawaihae,found,4354422,1997-08-26,USA,2016-09-24,
Chase Hooper,found,4354421,1999-09-13,USA,2017-10-07,
Chris Birchler,found,4081555,1987-06-05,USA,2011-09-09,
Jeff Hughes,found,4237606,1988-05-17,USA,2014-10-04,
Jimmy Crute,found,4354420,1996-03-04,Australia,2016-02-20,
Josh Appelt,found,3028694,1983-06-19,USA,2009-05-31,
Mike Davis,miss,,,,,
Sodiq Yusuff,found,4289274,1993-05-19,Nigeria,2016-04-16,
Garrett Gross,found,3254940,1988-08-08,USA,2013-11-09,
Ian Heinisch,found,4202873,1988-08-05,USA,2015-01-24,
Jordan Griffin,found,3150681,1990-02-28,USA,2011-04-22,
Juan Adams,found,4292650,1992-01-16,USA,2017-06-23,
Justin Sumter,found,4062290,1989-11-10,USA,2016-04-22,
Maurice Mitchell,found,4357591,1987-06-29,USA,,
Mitchell Sipe,found,4349155,1996-04-09,USA,2016-04-01,
Roosevelt Roberts,found,4354423,1994-02-11,USA,2016-10-22,
Shawn Teed,found,4234510,1992-02-13,USA,2015-12-04,
Bobby Moffett,found,3347074,1990-06-01,USA,2013-06-22,
Dennis Bryant,miss,4354424,,,,no dob on record
Devonte Smith,found,4354425,1993-07-30,USA,2015-09-26,
Jacob Kilburn,found,4354426,1995-06-28,USA,2016-11-05,
Joseph Lowry,miss,,,,,
Tebaris Gordon,miss,4358020,,,,no dob on record
Antonio Arroyo,found,4371002,1989-07-01,Brazil,2014-07-17,
Augusto Sakai,found,3900464,1991-05-09,Brazil,2011-10-15,
Diego Henrique da Silva,found,3054275,1986-08-22,,,
Gustavo Gabriel Silva,miss,,,,,
Maiara Amanajas dos Santos,found,4370999,1987-07-11,,2011-02-19,
Marcos Conrado Jr.,found,4379257,1982-03-14,,2017-04-15,
Rogerio Bontorin,found,4280789,1992-04-25,Brazil,2013-04-06,
Sarah Frota,found,4371004,1987-04-14,Brazil,2016-08-20,
Allan Nascimento,found,3020408,1991-09-11,Brazil,2011-11-29,
Andre Muniz,ambiguous,,,,,2 MMA ids
Bruno Assis,ambiguous,,,,,2 MMA ids
Estefani Almeida,found,4039957,1988-10-17,Brazil,2015-08-27,
Henrique da Silva,rejected,4389073,,,,name mismatch: Henrique da Silva Lopes
John Allan,found,4372193,1993-02-22,Brazil,2013-11-30,
Johnny Walker,ambiguous,,,,,2 MMA ids
Luana Carolina,ambiguous,,,,,2 MMA ids
Mabelly Lima,found,4372190,1994-01-25,Brazil,2017-10-27,
Maria Oliveira,found,4348793,1996-12-12,Brazil,2016-12-16,
Marina Rodriguez,found,4379258,1987-04-29,Brazil,2021-06-19,
Raulian Paiva,found,4372195,1995-10-17,Brazil,2013-10-01,
Taila Santos,found,3170347,1993-06-22,Brazil,2013-11-23,
Vinicius Moreira,found,4372196,1989-02-28,Brazil,2015-10-11,
Alton Meeks,found,3039935,1994-04-05,USA,,
Bill Algeo,found,4076472,1989-06-09,USA,2012-06-01,
Brendan Loughnane,found,3009725,1989-12-05,England,2010-06-26,
Hannah Goldy,found,4289255,1992-05-18,USA,2016-03-11,
Kali Robbins,found,4080575,1984-07-05,USA,2015-03-06,
Punahele Soriano,found,4423214,1992-11-22,USA,2017-01-28,
Yorgan De Castro,found,4423213,1987-12-19,Cape Verde,2017-11-17,
Kyle Daukaus,found,4329444,1993-02-27,USA,2017-02-18,
Michael Lombardo,found,2511778,1990-04-03,USA,2016-01-29,
Miguel Baeza,found,4423448,1992-08-23,USA,2015-08-22,
Miles Johns,found,4010864,1994-03-30,USA,2014-07-12,
Richie Santiago,found,4392322,1992-10-10,USA,2016-09-23,
Victor Reyna,found,3120459,1986-08-05,USA,2012-02-18,
Antonio Trocoli,found,3955820,1990-12-06,Brazil,2013-01-19,
Chris Ocon,found,4425705,1996-02-05,USA,2017-11-04,
Hunter Azure,found,4425706,1992-03-02,USA,2017-08-11,
Jacob Rosales,found,4239743,1995-07-28,USA,2015-08-27,
James Wallace,miss,,,,,
Joe Solecki,found,4423876,1993-08-27,USA,2016-10-29,
Jonathan Pearce,found,4245092,1992-05-01,USA,2014-11-08,
Kenneth Bergh,found,4095179,1989-06-26,,2013-05-25,
Maki Pitolo,found,4016050,1990-11-24,USA,2013-02-16,
Aaron Jeffery,found,4255574,1992-11-14,Canada,2014-10-11,
Armando Villarreal,found,4424222,1989-08-08,USA,2016-09-16,
Brendan Allen,found,4025699,1995-12-28,Brazil,2015-08-22,
Ode Osbourne,found,4424224,1992-01-09,Jamaica,2015-04-11,
Ricardo Prasel,found,4312854,1990-06-02,Brazil,2012-12-15,
Stephen Regman,found,3945573,1991-08-05,USA,2013-09-20,
Alexander Poppeck,found,4064714,1992-04-06,Germany,2013-11-02,
Billy Quarantillo,found,3900088,1988-12-08,USA,2013-02-15,
Jamahal Hill,found,4425355,1991-05-19,USA,2017-09-30,
Kamuela Kirk,found,3939270,1994-04-13,USA,2014-02-01,
Ramazan Kuramagomedov,found,4425611,1996-08-23,Russia,2014-08-30,
Sean Woodson,found,4566991,1992-06-07,USA,2016-09-30,
Terrance McKinney,found,4425604,1994-09-15,USA,2017-10-14,
Aalon Cruz,found,4043437,1989-09-20,USA,2013-11-08,
Aleksa Camur,found,4426299,1995-09-25,Bosnia & Herzegovina,2017-09-16,
Daniel Rodriguez,found,4426312,1986-12-31,USA,2015-06-14,
Fabio Cherant,found,4426301,1994-11-25,USA,2018-02-02,
Mariya Agapova,found,4426285,1997-04-07,Kazakhstan,2015-08-29,
Michal Martinek,found,4426144,1990-04-19,Czechia,2016-09-24,
Rico Farrington,found,3897220,1989-06-19,USA,2013-05-24,
Rodrigo Nascimento,found,4426192,1992-11-26,Brazil,2012-03-24,
Steven Nguyen,found,4426305,1993-05-19,USA,2016-04-30,
Tracy Cortez,found,4243624,1993-12-10,USA,2017-08-31,
Darrick Minner,found,3121961,1990-04-28,USA,2012-10-13,
Dwight Joseph,found,4565645,1989-08-16,Liberia,2014-12-13,
Harvey Park,found,4409396,1986-03-22,USA,2014-11-01,
Herbert Burns,found,3089633,1988-02-02,Brazil,2012-02-25,
Jay Perrin,found,4062287,1993-06-15,USA,2014-06-27,
Omar Morales,found,4372245,1985-10-17,Venezuela,2011-11-26,
Taylor Johnson,found,4565642,1990-11-09,USA,2016-07-30,
Brok Weaver,ambiguous,,,,,2 MMA ids
Devin Smyth,found,4565646,1995-07-21,USA,2016-05-14,
Herdem Alacabek,found,4379326,1991-06-07,Sweden,2014-11-22,
Ray Rodriguez,ambiguous,,,,,2 MMA ids
Sarah Alpar,found,3115959,1991-06-01,USA,2011-07-01,
Shanna Young,found,4065617,1991-02-20,USA,2015-04-11,
Tony Gravely,found,4084453,1991-09-28,USA,2015-10-10,
William Knight,found,4255766,1988-04-03,USA,2018-05-04,
Desmond Torres,found,4573548,1997-01-06,USA,2017-04-08,
Jamal Pogues,found,4565641,1995-12-01,USA,2016-07-30,
Leon Shahbazyan,found,4423215,1995-11-18,Armenia,2016-06-25,
Mallory Martin,found,4141265,1994-01-29,USA,2016-12-15,
Marcos Brigagao,found,4570799,1996-04-01,Brazil,2017-06-17,
Micol DiSegni,found,4565668,1987-12-29,Italy,2015-10-03,
Phil Rowe,found,3924096,1990-07-18,USA,,
Steve Garcia,ambiguous,,,,,2 MMA ids
Ben Sosoli,found,4573211,1989-12-10,Australia,2013-02-02,
Dusko Todorovic,found,4421517,1994-05-19,Serbia,2015-09-19,
Dustin Joynson,found,4573210,1985-10-14,Canada,2014-05-16,
Impa Kasanganay,found,4573208,1994-01-17,USA,2019-01-25,
Kailan Hill,found,4573207,1994-12-01,Puerto Rico,2017-01-07,
Peter Barrett,found,4388465,1986-08-10,USA,2014-06-21,
Sang Hoon Yoo,miss,,,,,
Teddy Ash,found,4033520,1989-12-27,Canada,2013-03-23,
Dustin Jacoby,found,2594871,1988-04-04,USA,2010-11-27,
Jerome Rivera,found,4222369,1995-04-22,USA,2014-03-29,
Jordan Leavitt,found,4686565,1995-06-02,USA,2017-10-07,
Mikey Gonzalez,found,4686567,1985-08-13,USA,2014-05-03,
Ronaldo Rodriguez,found,4685888,1999-05-07,Mexico,2017-03-19,
Ty Flores,found,4010873,1993-12-22,USA,2015-05-16,
Uros Medic,found,4685870,1993-04-25,Serbia,2016-06-11,
Adrian Yanez,found,3998248,1993-11-29,USA,2014-03-14,
Anthony Adams,found,4359111,1988-01-13,USA,2016-02-20,
Brady Huang,found,4403536,1992-12-16,USA,2016-11-12,
Cory McKenna,found,4565671,1999-07-11,Wales,2018-03-03,
Daniel Swain,found,2990078,1991-01-30,USA,2010-11-06,
Dustin Stoltzfus,found,4685871,1991-11-15,USA,2014-11-08,
Joe Pyfer,ambiguous,,,,,2 MMA ids
TJ Laramie,found,4422029,1997-10-15,Canada,2015-03-15,
Vanessa Demopoulos,found,4683395,1988-09-22,USA,2017-12-15,
Chad Johnson,found,4684127,1986-07-22,USA,2017-12-02,
Cheyanne Vlismas,ambiguous,,,,,2 MMA ids
Hilarie Rose,found,4686737,1992-11-11,USA,2018-02-02,
Louis Cosce,found,4685887,1995-08-27,USA,2017-01-14,
Alejandro Flores,found,4686736,1991-08-06,Mexico,2013-10-05,
Anthony Romero,found,4684470,1997-02-25,Canada,2023-05-13,
Jacob Silva,found,4193828,1988-02-23,USA,2014-11-14,
Jeff Molina,found,4684238,1997-07-17,USA,2017-06-03,
Jhonoven Pati,found,3895527,1990-04-29,USA,2013-09-28,
Mike Breeden,found,4684468,1989-04-21,USA,2017-01-27,
Rafael Alves,ambiguous,,,,,2 MMA ids
Chase Gibson,found,4293896,1990-02-07,USA,2014-12-04,
Cody Brundage,found,4684474,1994-05-16,USA,2019-04-27,
Dennis Buzukja,found,4686735,1997-10-01,USA,2018-10-13,
Jimmy Flick,found,2989380,1990-09-07,USA,2010-05-27,
Jose Johnson,found,4360028,1995-05-20,USA,2016-07-29,
Melsik Baghdasaryan,found,4686734,1992-01-28,Armenia,2014-04-12,
Nate Smith,miss,,,,,
Ronnie Lawrence,found,4231391,1992-06-13,USA,2015-10-31,
Tucker Lutz,found,4684678,1994-07-12,USA,2015-10-24,
Al Matavao,found,4252253,1994-02-23,American Samoa,2015-03-04,
Aliaskhab Khizriev,found,4045420,1990-08-24,Russia,2014-05-27,
Drako Rodriguez,found,4412279,1996-06-16,USA,2017-07-15,
Henrique Shiguemoto,ambiguous,,,,,2 MMA ids
Khadzhimurat Bestaev,miss,,,,,
Mana Martinez,found,4684237,1996-03-25,USA,,
Tafon Nchukwi,found,4600143,1994-10-14,Cameroon,2019-03-02,
Collin Anglin,found,4686739,1993-02-20,USA,2017-09-23,
Gregory Rodrigues,found,4690541,1992-02-17,Brazil,2014-09-06,
Muhammad Naimov,found,4690540,1994-08-07,Tajikistan,,
Edson Gomez,found,4693719,1991-02-23,Mexico,2015-08-15,
Harry Hunsucker,found,4251497,1989-01-03,USA,2015-09-26,
Ignacio Bahamondes,found,4038116,1997-08-27,Chile,2015-11-21,
Jared Vanderaa,found,4227709,1992-05-12,USA,2015-06-14,
Luis Saldana,found,3074813,1991-01-27,USA,2011-03-05,
Vince Murdock,found,3147489,1991-03-21,USA,2012-11-17,
Luana Pinheiro,found,4689229,1992-11-18,Brazil,2016-10-09,
Natan Levy,found,4702563,1991-09-30,Israel,2018-03-23,
Nikolas Motta,found,3897242,1993-02-08,USA,2012-05-18,
Shaheen Santana,found,4701012,1991-06-04,USA,2016-06-24,
Stephanie Frausto,found,2504828,1990-09-20,USA,2010-01-10,
Chelsea Hackett,found,4689226,1998-08-16,Australia,2019-05-25,
Gloria de Paula,found,4566310,1995-06-10,Brazil,2017-07-15,
Nick Maximov,found,4700964,1997-12-23,USA,2018-10-06,
Oscar Cota,found,3162581,1984-10-15,Mexico,2011-12-03,
Pauline Macias,found,4689228,1988-06-27,USA,2018-06-16,
Sherrard Blackledge,found,4689223,1993-08-16,USA,2018-11-02,
Victoria Leonardo,found,4374740,1990-02-16,USA,2018-05-25,
AJ Fletcher,found,4869424,1997-02-18,USA,2019-05-11,
Diego Lopes,found,4881999,1994-12-30,Brazil,2012-09-08,
Joanderson Brito,found,4422355,1995-02-11,Brazil,2013-11-08,
Leonardo Damiani,found,4410116,1990-08-30,Italy,2016-11-20,
Victor Altamirano,found,4713584,1991-01-23,Mexico,2017-12-08,
Bruno Mesquita,found,4239524,1991-06-28,Brazil,2015-07-19,
CJ Vergara,found,4396359,1991-06-18,USA,2012-11-17,
Chad Anheliger,found,4816062,1986-12-01,Canada,2010-12-10,
Chidi Njokuani,found,2959422,1988-12-31,USA,2007-11-03,
Jose Alday,found,3962309,1991-09-14,Mexico,2014-02-15,
Josh Quinlan,found,4788300,1993-02-06,USA,2019-04-12,
Logan Urban,found,4888600,1994-04-22,USA,2018-03-17,
Mario Sousa,ambiguous,,,,,2 MMA ids
Muin Gafurov,found,3960072,1996-05-17,Tajikistan,2013-11-15,
Saimon Oliveira,found,4875505,1991-04-21,Brazil,2013-07-20,
Albert Duraev,found,3088682,1989-01-05,Russia,2011-09-28,
Ange Loosa,found,4875506,1993-03-18,Democratic Republic of Congo,2013-04-13,
Caio Bittencourt,ambiguous,,,,,3 MMA ids
Dylan Potter,found,4336003,1995-01-14,USA,2015-09-26,
Jack Della Maddalena,found,4828707,1996-09-10,Australia,2016-03-12,
Jailton Almeida,found,4873640,1991-06-26,Brazil,2012-09-29,
Lukasz Brzeski,found,4710386,1992-05-17,Poland,2013-04-18,
Nasrudin Nasrudinov,found,4684857,1991-10-06,Russia,2013-06-30,
AJ Dobson,found,4374436,1992-01-18,USA,2016-06-25,
Hashem Arkhagha,found,4835136,1989-09-11,Jordan,2010-12-08,
Kleydson Rodrigues,found,4875509,1995-10-22,Brazil,2015-01-17,
Michael Morales,found,4869426,1999-06-24,Ecuador,2017-08-19,
Nikolay Veretennikov,found,4700616,1989-12-22,Kazakhstan,2012-10-20,
Santo Curatolo,found,4683418,1995-01-18,USA,2017-08-05,
Theo Rlayang,found,4875510,1994-08-10,USA,2020-02-01,
Victor Martinez,miss,,,,,
Caio Borralho,found,4835137,1993-01-16,Brazil,2014-12-13,
Daniel Zellhuber,found,4863327,1999-07-07,Mexico,2016-09-24,
Edivan Mineiro Santos,miss,,,,,
Ihor Potieria,found,4873642,1996-05-29,Ukraine,2015-01-31,
Lucas Almeida,ambiguous,,,,,2 MMA ids
Lukasz Sudolski,miss,,,,,
Rizvan Kuniev,found,4001837,1992-03-10,Russia,2011-10-08,
Carlos Hernandez,found,3249894,1993-10-25,USA,2017-04-22,
Daniel Barez,found,4236496,1988-12-10,Spain,2012-11-10,
Fernie Garcia,found,4880596,1992-04-12,USA,2015-11-07,
Genaro Valdez,found,4874988,1992-01-16,Mexico,2016-04-15,
Joseph Holmes,found,4783385,1995-07-04,USA,2019-03-22,
Joshua Weems,found,4425728,1994-05-05,USA,2017-10-14,
Patrik White,found,4874989,1993-06-11,USA,2016-03-16,
Shonte Barnes,found,4875515,1987-02-09,USA,2016-08-27,
Chris Duncan,found,4867356,1993-05-10,Scotland,2018-04-07,
Christian Rodriguez,ambiguous,,,,,2 MMA ids
Jake Hadley,found,4705600,1996-08-03,England,2018-02-10,
Lorenzo Hood,found,2502713,1989-03-02,USA,2009-02-14,
Martin Buday,found,4406574,1991-11-11,Slovakia,2015-10-23,
Mitch Raposo,found,4815978,1998-10-16,USA,2019-04-06,
Reyes Cortez Jr.,found,4892422,1992-07-31,USA,2017-08-12,
Viacheslav Borshchev,found,4877915,1992-01-08,Russia,2019-06-01,
Armen Petrosyan,found,4894791,1990-11-03,Armenia,2018-10-12,
James Barnes,found,3924102,1982-05-28,USA,2014-04-05,
Jesse Murray,found,4336424,1993-01-26,USA,2014-08-08,
Jonny Parsons,found,4880114,1991-09-06,USA,2013-10-05,
Kaloyan Kolev,found,4875514,1992-10-17,Bulgaria,2016-06-18,
Pedro Falcao,found,3936279,1992-07-30,Brazil,2011-07-09,
Piera Rodriguez,found,4816066,1992-11-11,Venezuela,2017-05-20,
Solomon Renfro,found,4878384,1997-02-05,USA,2017-08-05,
Valesca Machado,found,4836549,1996-05-06,Brazil,2016-01-30,
Cristian Quinonez,found,4884868,1996-04-26,Mexico,2013-08-02,
Gadzhi Omargadzhiev,found,4896529,1993-02-24,Russia,2013-09-21,
Jansey Silva,found,4896540,1995-05-30,Brazil,2017-08-05,
Javid Basharat,found,4867357,1995-09-07,England,2016-04-23,
Kolton Englund,found,4218124,1993-07-09,USA,2014-06-13,
Manuel Torres,ambiguous,,,,,2 MMA ids
Oron Kahlon,found,4021216,1984-11-04,Israel,2005-10-19,
Xiao Long,ambiguous,,,,,2 MMA ids
Achilles Estremadura,found,4875499,1992-03-11,Canada,2015-05-30,
Justin Burlinson,found,4848687,1997-05-19,England,2017-08-19,
Maheshate,found,4895360,1999-12-01,China,,
Yohan Lainesse,found,4880807,1992-08-14,Canada,2018-08-02,
Acacio dos Santos,found,4687113,1991-09-29,Brazil,2013-08-10,
Alessandro Costa,found,5074121,1996-01-28,Brazil,2015-12-05,
Andres Luna Martinetti,miss,,,,,
Anton Turkalj,found,4875513,1996-06-10,Sweden,2018-12-10,
Osman Diaz,miss,,,,,
Billy Ray Goff,found,4706975,1998-06-18,USA,,
Charlie Campbell,found,4786358,1995-07-03,USA,2019-05-31,
Connor Matthews,found,5044438,1992-05-31,USA,2019-08-24,
Francis Marshall,found,5060394,1999-03-03,USA,2019-11-09,
Shannon Ross,ambiguous,,,,,2 MMA ids
Shimon Smotritsky,found,4892412,2000-08-22,Israel,2016-12-20,
Vinicius Salvador,found,4869425,1996-07-24,Brazil,2014-09-27,
Anvar Boynazarov,found,5060511,1989-01-10,Uzbekistan,2020-12-12,
Bo Nickal,found,5061870,1996-01-14,USA,2022-06-03,
Clayton Carpenter,found,4904998,1996-06-09,USA,2019-08-24,
Edgar Chairez,found,5076027,1996-01-27,Mexico,2016-12-03,
Erik Silva,found,5075335,1987-03-16,Venezuela,2016-03-17,
Paulo Renato Jr.,found,5007669,1994-01-25,Brazil,2013-12-08,
Zachary Borrego,found,5078230,1996-07-18,USA,2021-06-19,
Ahmad Sohail Hassanzada,miss,,,,,
Claudia Leite,found,5030324,1996-11-04,Brazil,2016-07-23,
Claudio Ribeiro,found,5074126,1992-07-17,Brazil,2017-02-10,
Hailey Cowan,found,4374742,1992-02-12,USA,2018-05-25,
Ivan Valenzuela,found,5065494,1992-11-17,Mexico,2018-10-05,
Jack Cartwright,found,4584150,1994-05-26,England,2017-02-11,
Nazim Sadykhov,found,5074130,1994-05-16,Azerbaijan,2018-11-16,
Amiran Gogoladze,found,4963260,1997-12-09,Georgia,2014-10-19,
Cameron Saaiman,found,5077399,2000-12-20,South Africa,2019-12-14,
Darrius Flowers,found,4358252,1994-08-25,USA,2017-03-03,
Denise Gomes,found,4963343,1999-12-30,Brazil,2017-09-09,
Eduardo Neves,found,5053878,2000-03-16,Brazil,2019-12-20,
Erisson Ferreira,found,4895769,1991-05-03,Brazil,2016-04-16,
Jesus Aguilar,found,5074274,1996-03-13,Mexico,,
Josh Wang Kim,rejected,5077400,,,,name mismatch: Josh Wang-Kim
Mick Parkin,found,5060505,1995-10-02,England,2019-07-06,
Rayanne dos Santos,found,4601333,1995-06-08,Brazil,2015-12-05,
Alex Morgan,miss,,,,,
Blake Bilder,found,5080936,1990-07-12,USA,2018-02-24,
Jose Henrique Souza,miss,,,,,
Maria Silva,ambiguous,,,,,4 MMA ids
Viktoriia Dudakova,found,5060398,1999-01-26,Russia,,
Yusaku Kinoshita,found,5085249,2000-08-21,Japan,2020-11-29,
Gabriel Bonfim,found,4921516,1997-08-20,Brazil,2014-12-13,
Ismael Bonfim,rejected,3093513,1995-12-28,,2011-08-13,implausible: debut age 15.6
Jimmy Lawson,found,4701186,1991-11-13,USA,2019-04-26,
Karl Williams,found,4915907,1990-01-06,Virgin Islands,2021-02-20,
Nariman Abbasov,found,4294871,1994-02-01,Azerbaijan,2013-06-30,
Nayara Maia,found,5056143,1990-07-25,Brazil,2018-12-08,
Rodolfo Bellato,found,5060489,1996-02-05,Brazil,2017-07-16,
Tereza Bleda,found,5056144,2001-11-30,Czechia,2020-09-26,
Trey Waters,found,5092403,1995-02-21,USA,2020-03-21,
Vitor Petrino,found,5060483,1997-08-28,Brazil,2019-05-03,
Allan Begosso,found,4903519,1995-11-23,Brazil,2014-09-20,
Brandon Lewis,found,4875507,1997-08-02,USA,2016-07-22,
Bruna Brasil,found,4394200,1993-09-07,Brazil,2014-11-08,
Daniel Marcos,found,5088886,1993-03-07,Peru,2015-09-11,
Farid Basharat,found,5016786,1997-08-02,,2018-04-14,
Ikram Aliskerov,found,4684776,1992-12-07,Russia,2012-04-26,
Malik Lewis,found,5092399,1996-03-04,USA,2020-03-06,
Marnic Mann,found,4891678,1993-03-05,USA,2019-04-06,
Trevor Peek,found,5048900,1995-01-09,USA,2020-10-03,
Brunno Ferreira,found,5077131,1992-11-04,Brazil,2019-04-06,
Josh Wick,found,3128474,1994-10-04,USA,2013-12-14,
